tag,rating_avg
é˜®ä¸€é¸£,3.921239561324077
ç»å…¸,4.029000181345584
æš´åŠ›,4.174231169217055
æµ‹è¯•,3.466666666666667
å¥½äºº,3.5891990291262137
ä½Žä¿—å°è¯´,4.174231169217055
Ø§Ø­Ø³Ø§Ø³Ø§ØªÙŠ,2.9461137513414073
Özgür Yildirim,3.1666666666666665
Özer Kiziltan,3.826923076923077
Ömer Faruk Sorak,3.3333333333333335
Î•Î¯Î½Î±Î¹ ÎµÎ¾Î±Î¹ÏÎµÏ„Î¹ÎºÎ¬ Î´Î¹ÎµÏƒÏ„ÏÎ±Î¼Î­Î½Î·,3.704485488126649
Éva Gárdos,3.546242774566474
Étienne Chatiliez,3.4
Çagatay Tosun,4.0
Çagan Irmak,3.8
Å¡Å†uk,3.726989496172334
Åke Sandgren,3.4727272727272727
Ã‰rase una vez en AmÃ©rica,3.9502098880597014
Ã“scar Jaenada,3.3172
Ã¼bermensch,3.406927921623513
Ãvila,1.6666666666666667
Ãlex de la Iglesia,3.6893491124260356
Â¡Olivier Martinez!,3.5627035830618894
Â London,3.7
Álex de la Iglesia,3.4528718703976438
Ágnes Hranitzky,3.622448979591837
 religion:Elvis,3.5138532580810673
 oppl,3.7445593035908598
 London,3.7
 					character based on real person:The King,3.5138532580810673
 ,3.7976310766812618
zzzzzzzzzzzzzz...,4.137925065906852
zydeco,3.384
zweverig,3.3935447338618348
zuzu's petals,4.064292814541323
zoophilia,3.3015873015873014
zoom zoom,2.493928764166217
zoom,3.4545454545454546
zooey deschanel's awful singing voice,3.8042309693081324
zooey deschanel,3.7668672859697327
zoo,3.289473684210526
zombified action,3.772085259373395
zombies don't need to breathe,3.2429284525790347
zombies,3.706051209456926
zombie vampire hybrid,3.4895623936910467
zombie plot,3.472957084068195
zombie movie with vampires,3.0655270655270654
zombie film,2.6739130434782608
zombie,3.7244762235288844
zoltan,2.5065868263473052
zoeey deschanel,3.8155693677102516
zizek's pick,3.831211267605634
zizek,3.730769230769231
zither,4.246001523229246
zimbabwe,4.0
ziegfeld follies,3.351590106007067
zibri studio,4.129811643548414
zhun long,3.85243006499011
zhang yimou,3.9199336447965334
zest for life,4.081865458815635
zero gravity,3.4038102128172665
zero entertainment value,3.7386961093585698
zero 7,3.8277977575629363
zeppelin,3.961301694201831
zeitgeist-y,4.174231169217055
zeitgeist,3.095833333333333
zeichnungen als übergang,2.813371036154312
zegist,3.702247191011236
zef,3.3461538461538463
zebras,3.365272088940901
zebra,3.365272088940901
zealots,3.3777777777777778
zany,2.103448275862069
yuppies,3.5032799851121244
yukon,3.6127450980392157
yuen woo-ping,3.646067415730337
yuen chor,4.0
yucky,3.0569987563907697
ytmnd,3.681246815016137
yoyoyo,3.883866162484244
youtube,3.5747382396934504
youth rebellion,3.52
youth gone wild,3.3599689297283004
youth,3.823940381928272
your shirt look like a curtain,3.430676237249717
your ratings,3.2731481481481484
your out of ur element donnie!!!!,3.9449457177322076
younger version of character,3.87349247793112
younger men,3.4016781411359727
younger Gandalf,3.771425424102225
young target audience,3.73099069836114
young sexual education,3.8945986496624156
young romance,3.558252427184466
young people,3.838911742707554
young parents,3.4678362573099415
young mother,3.5168621700879767
young meryl streep,3.9255637055148056
young love,3.8062419768934532
young kids,3.813235947567207
young kid,3.293388429752066
young jim carrey,3.5
young intellectuals,3.5720720720720722
young heroes,3.6212397179788485
young girls,3.4863013698630136
young girl,4.050573554487676
young age classic,3.6533158901076783
young adult,3.5
young Anakin,3.0940744523062707
young,3.4765878535002317
youkai,3.05
you've seen them all.,3.300495482366657
you're tearing me apart lisa,2.426282051282051
you're gonna die clown,3.4170806586659226
you'll like the film,2.8333333333333335
you will love it.,4.172625226133634
you will laugh,3.0764150943396227
you still wake up sometimes don't you? you wake up in the dark and hear the screaming of the lambs,4.17705650958151
you might laugh your head out.,3.5834348355663823
you mean he gets to go back inside the...oh lucky,3.650011407711613
you know it,4.066078116639915
you complete me,3.6215780276894125
yokai,4.202849087401692
yoga,3.3333333333333335
yoda,3.108584474885845
yingyang,3.8497942386831276
yeye,2.0
yes-we-can,3.733156028368794
yes,3.8321985504063254
yemen,3.3970588235294117
yellowface,3.8203145946912147
yellow water,3.83058678576929
yellow car,3.464983713355049
yellow brick road,3.9816805288974195
yellow,3.919351362999677
yeah but damn is she hot,2.9155759162303663
yeah,3.2111273376333616
ye haw! Ride em cowboy!!!!,3.6920446364290855
yayan ruhian,3.7162790697674417
yay! Jack B. :),3.355910605763576
yankee,3.765
yale,2.7850487081745023
yakuza,3.799432802899007
yacht,3.4940224783449065
ya boy,3.921239561324077
xenophoby,3.5940701581837553
xenophobic?,3.133768115942029
xenophobic,3.2807531380753137
xenophobia,3.7968463638506758
xenomorph,3.8360563526540785
x-men wanna-be,3.3148104682548998
x-men III,3.3606891151135474
x-men,3.2372093023255815
x-mas movie,3.259956042905946
x-from Pej,4.334372207803259
x-from Dad,3.4305652477320305
x-from Bro,3.8277977575629363
x wing,4.077459864430967
x men,3.7217883113385404
wyatt earp,3.8782201405152223
wy,3.5099657827202737
www.thestopbutton.com,4.0390660592255125
wwii,4.052432064685383
wwf,4.092081583683263
wwII,4.0603579488794415
ww2,3.627998255560401
wuxia,3.878568951794031
wushu,3.7934426229508196
wurstsalat,3.42
wuerzburg,3.6227272727272726
wu tang,3.7737430167597767
wtf?!,3.3334277085692716
wtf?,2.0833333333333335
wtf ending,3.031771674744211
wtf,3.645146414572285
wry,3.9964619802036596
wrongly convicted,3.5036496350364965
wrongly accused,3.841720897794156
wrongfully funny,3.846943483275663
wrongful imprisonment,4.356324938478455
wrong. so wrong,3.745970973199181
wrong side of the tracks,3.5419753086419754
wrong morals,3.8529023746701845
wrong accents,3.1752717391304346
wrong,3.318231441048035
written epilogue,3.0748582230623818
written by a 14-year-old boy,3.8449931412894376
writing process,3.7955689370391084
writing,3.782698999224825
writers block,3.770168025940847
writers at work,3.7588443871383674
writers,3.8186752327898184
writer:Robert Benton,3.7440664556962027
writer:Michael Crichton,3.5981182795698925
writer:Julian Fellowes,3.5977944236371204
writer:David Mamet,3.857270802800847
writer:Andrew Lloyd Webber,3.402941176470588
writer: Neil Simon,3.1
writer-director,3.8202647657841142
writer's script,3.967766497461929
writer's process,3.8056491663710537
writer's life,4.2347902097902095
writer's block,3.8142873727796913
writer biography,3.628987240829346
writer as protagonist,3.743263114698037
writer,3.66731303712318
wrist watch,3.6921315178515406
wrings the emotions too much,3.638708407166765
wretched,3.3901859912940244
wrestling,3.858432142587418
wrath,4.053492566302111
wow!,4.174231169217055
wow - so much better than Constant Gardener...,3.6306451612903228
wow,3.740985576923077
wouldn't see again,3.332558436786017
would you please let them tell the joke?,3.3100078186082875
would see again,3.8893773642776814
would kill not to watch,0.9730046948356808
would have been better if I hadn't read the book,3.1208092485549135
worthwhile,2.8807541625857005
worth watching,3.3213498863437665
worst thing,3.461904761904762
worst superhero,3.3910714285714287
worst sex scene,3.0
worst sequel to an already bad movie,2.847257171615501
worst plot,2.7419354838709675
worst of series,2.202524544179523
worst movies ever,3.064591727653976
worst movie of this year,3.2006802721088436
worst movie ever!,1.25
worst movie ever,3.092236589802842
worst films ever,2.304985337243402
worst ever,3.9735757266813683
worst ending ever,3.1599898580121706
worst documentary ever,3.3100078186082875
worst denzel movie ever,3.67756893780141
worst animated flick ever,1.8983050847457628
worst acting,0.9730046948356808
worst Disney movie,3.1950530035335687
worshipful,3.2983193277310923
worse than the show,2.9296233957500526
worse than the book,3.7077620378192213
worse than previous films,3.394436256448047
worse than predecessors,2.9453088713423132
worse than expected,4.063321064932971
worse than book,3.4830729166666665
worse than Michael Moore,2.840909090909091
worse book,4.029000181345584
worried mother,3.0770953294945618
worn-out,3.6844361398109475
worn out story,4.012973533990659
wormhole,3.4860340978939535
world's fair,2.6595744680851063
world within a world,3.7064732142857144
world war ii,4.298355639249445
world war III,3.6602389436176903
world war II,4.03524623816382
world war I,4.141613227712813
world war 2,3.986975587407553
world tour,3.303030303030303
world record,3.8366450683945286
world politics,3.792444801664224
world inside another world,3.444007858546169
world end,2.955928165658787
world,2.943048643441965
workplace,3.9157192711168616
workout,3.376984126984127
working women,3.6887451680047576
working sucks,3.9853896103896105
working poor,3.5416666666666665
working conditions,3.5
working class,3.798723067907712
workers,3.8985766324878575
workaholic,3.2286801956559716
work camp,3.7242990654205608
work,3.42964824120603
words cannot explain how horrid this is,1.796218487394958
wordplay,3.573394495412844
wordless,4.006944444444445
word play,3.17481662591687
word game,3.449571836346337
woody allen is a terrible person,3.9201919178267333
woody allen,3.995819833699617
woodworking,3.900795666158795
woodstock,3.35
woods,3.9525669642857144
wooden laptop,3.1669449081803007
wooden delivery,3.7325069016776387
wooden acting,3.791930674617965
woo,3.11587982832618
wong kar-wai,3.673494983277592
wong kar wai,3.928951631566767
wong jing,3.230769230769231
wonderfully warm and amusing,4.035846424455632
wonderfully dark,3.600274411159387
wonderfully convoluted story,3.8068181818181817
wonderful thoughts,4.156172003137702
wonderful surprise movie,3.4079153605015673
wonderful light touch,3.7975720563044613
wonderful child,4.008046490835941
wonderful,4.052292679942492
wonder,3.6647408523821485
won bin,3.765
womens cunning,3.923046637317012
women's rights,3.7157275631716526
women's lib,3.461810139952469
women's auxiliary corps (Lotta),3.19281045751634
women portrayed as slutty and stupid,3.843275075987842
women movies vs men movies,3.518416941503211
women japan world war w,3.618781725888325
women in the workplace,3.3468729851708576
women in sport,3.7385984089390902
women in refrigerators,3.854807223035627
women in publishing,3.230769230769231
women in prison,2.574074074074074
women disguised as men,3.1470627004701437
women as sexual objects,3.0432211101000908
women,3.489267606363625
womanizing,3.3846530412434217
womanhood,3.3333333333333335
woman outsmarts man,3.275757575757576
woman lead,3.09018540910923
woman in bathtub,3.8202647657841142
woman in armour,3.4398682042833606
woman hater,2.6384892086330933
woman disguised as men,2.8696857670979665
woman carried onto tall building,3.3409950631531706
woman as a main character,2.4242424242424243
woman - man friendship,3.264925373134328
woman,3.881593169044531
wolves are evil,3.1032719836400817
wolves,3.7037588860976003
wolverine cameo,3.8304785209352907
wolverine,3.6225521053403122
wolfs,2.6838709677419357
wolf pack,3.7611024033437825
wolf,3.7284654361201595
wobbly camerawork,3.591254752851711
wizards,4.037116559470648
wizard of oz,2.638888888888889
wizard,4.001325113786945
wixom library,3.1392857142857142
wity,3.9735023041474653
witty!,3.8542203772485615
witty lines,3.3619791666666665
witty dialogues,4.199673416067929
witty dialogue,4.124654709566976
witty,3.9165959493745754
witness to discrimination,3.5899532710280373
witness protection programme,2.710304054054054
witness protection,3.780701754385965
witness,4.095455822626376
witless,3.672737620944792
without romance,3.451940850277264
without any especial new!,3.2148160279506497
without annoying montages,3.5306619437679876
without Martha,3.9074348925117692
with no payoff for sitting through it.,3.121875
with SB as Odysseus?,3.3089370790208643
witchhunts,3.8238031914893615
witches,3.5870553797539175
witchcraft,3.221561961263977
witch hunt,3.9696433088793324
witch,3.7023058200771573
wit,3.7709867452135493
wistful,3.893000854171474
wissenschaftliche sci-fi,3.5776128266033256
wissenschaftler,3.7221047686163966
wishful,3.5
wishes,3.6526484125126766
wisecracking characters,3.7671779665849345
wisecrack humor,3.675886143931257
wise guys,3.804818138875768
wisdom,3.8913741274774547
wisconson,3.256862745098039
wirework,3.874803100646659
wired 50 greatest soundtracks,3.808412406115581
wire walker,3.8818615751789975
wipes nose with hand repeatedly!,3.7596153846153846
wintry,3.918241559637273
winter scenes,3.4788385826771653
winter,3.763659673185324
winston,3.6153319644079396
winona ryder,3.513252918614833
winnings,3.634831460674157
winning,3.8763097949886105
wings of freedom,4.045938748335552
wing chun,3.8491789109766636
winery,3.2795208500400963
wine tasting,3.721654275092937
wine and romance,3.3416053511705686
wine,3.706081407715363
wind,3.2142857142857144
wincest,4.190671901948552
wilson,3.6164542906995187
willpower,3.497967086156825
william shatner,3.2764127764127764
william s. burroughs,3.6167023554603857
william goldman,4.040290371792454
william gibson,2.7326066425310875
william castle remake,2.5229007633587788
william burroughs,3.267857142857143
willem defoe,3.919977226720648
willem dafoe,3.688827447530476
will wheaton,3.999134781772736
will to survive,3.9375
will smith,3.3692187123814015
will power,3.5205882352941176
will not like,4.056358269245708
will like,3.3685376661742983
will leave you feeling suicidal,3.4843843843843842
will keep you away from the water,3.805304944063515
will ferrell = nazi,3.2142857142857144
will ferrell,3.4523902629778083
will ferrel,3.2142857142857144
will fe,3.8397548161120842
will farrel,3.8397548161120842
will farell,3.2006802721088436
will dislike,2.7367563162184187
will (law),3.883866162484244
wilhelm,3.485602094240838
wilford brimley beaten to death,3.4953871306785005
wildly overrated,4.225571270026465
wildlife,3.7363519962751717
wilderness,3.823882135184606
wild west,3.5495699411498416
wild child,3.6661676646706587
wild boar,3.1666666666666665
wild at heart,3.9816805288974195
wild animal,3.831168831168831
wild and fresh,3.7555404794210765
wikus,3.872480716596168
wikilens top pick,4.119721718088324
wig,3.8003992015968064
wife swapping,3.5960743801652892
wierd story,3.820779987287751
wierd love,3.9050276709501923
wierd for the sake of it,3.39859693877551
wierd,3.3997252747252746
widows/widowers,3.7479604155996196
widowhood,3.504338394793926
widower,3.9172091901760187
widow to remarry,3.477043673012318
widow,2.0
widespread cellphone-based surveillance,4.220129171151776
wide spectrum of emotions,3.9155571128241067
wide range of experts,3.6551724137931036
wicca,3.1291432315841208
why?,1.2584745762711864
why's this rated R? good though,3.2984429065743943
why was he taking speed?,3.877617148554337
why the terrorists hate US,3.284684684684685
why the hell anyone would like this movie?,4.247286821705426
why militant islam is so scary,3.625
why god why,2.6055508320174905
why god,2.776126651126651
why everyone hates the US,3.4164156626506026
why don't koreans or mexicans come to the US to adopt children?,3.376984126984127
why do they make good shows into bad movies?,3.1647398843930636
why do i hate this?,3.7472686430005786
why did it have to be snakes?,2.0752464971458227
why a sequel?,2.25999266593326
whose neighbors?,3.3947368421052633
whores,3.1957928802588995
whorephobia,3.7724006762468303
